alpha,bilateral,condition,f1,fitness,map50,map50_95,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),per_class_ap,precision,recall,sigma,split
0.5,d7_c75_s75,noisy,0.16538000267998568,0.04031898055482113,0.10867426844127148,0.04031898055482113,0.10867426844127148,0.04031898055482113,0.5985602686820585,0.09594456698270333,"[0.23361174868196458, 0.0, 0.0027068965517241376, 0.005595238095238095, 0.0, 0.0]",0.5985602686820585,0.09594456698270333,25,val
0.5,d7_c75_s75,noisy,0.1581197982869069,0.029340813881108,0.09287538126361657,0.029340813881108,0.09287538126361657,0.029340813881108,0.4489166912843998,0.09595959595959597,"[0.176044883286648, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4489166912843998,0.09595959595959597,25,test
0.5,d7_c75_s75,bilateral,0.7430726964147485,0.3505334370411285,0.6728556473509012,0.3505334370411285,0.6728556473509012,0.3505334370411285,0.8513018840267225,0.65925867866516,"[0.5970167332678615, 0.3487744746879883, 0.4521507960038397, 0.39931941328837695, 0.22063950128487891, 0.08529970371382609]",0.8513018840267225,0.65925867866516,25,val
0.5,d7_c75_s75,bilateral,0.7201060704300862,0.3395877944388758,0.6190854723689888,0.3395877944388758,0.6190854723689888,0.3395877944388758,0.8692999108280378,0.6146214859522537,"[0.5776628873319662, 0.2999680447040149, 0.3968978749793378, 0.3736533776648018, 0.19911946803196806, 0.19022511392116656]",0.8692999108280378,0.6146214859522537,25,test
0.5,d7_c75_s75,agcwd,0.09154402155437165,0.014374791722457904,0.05034563611530179,0.014374791722457904,0.05034563611530179,0.014374791722457904,0.6260123828505588,0.04938271604938271,"[0.08549875033474744, 0.0, 0.0, 0.00075, 0.0, 0.0]",0.6260123828505588,0.04938271604938271,25,val
0.5,d7_c75_s75,agcwd,0.08096764450595399,0.014037054122348241,0.04260940040351805,0.014037054122348241,0.04260940040351805,0.014037054122348241,0.46900929763969373,0.04430842535908544,"[0.08422232473408944, 0.0, 0.0, 0.0, 0.0, 0.0]",0.46900929763969373,0.04430842535908544,25,test
0.5,d7_c75_s75,member3,0.5325983557176823,0.1933103408513061,0.38042148340666043,0.1933103408513061,0.38042148340666043,0.1933103408513061,0.7878425700202291,0.4022710896769675,"[0.5286912822966258, 0.11066465529481442, 0.2352460901204565, 0.2326171602530827, 0.04364285714285714, 0.009]",0.7878425700202291,0.4022710896769675,25,val
0.5,d7_c75_s75,member3,0.47160716497634764,0.14800054220957862,0.29331698589228705,0.14800054220957862,0.29331698589228705,0.14800054220957862,0.7382435979286374,0.3464701850785595,"[0.4932143255324797, 0.046780969878241, 0.12906494252873563, 0.16469301531801533, 0.04025, 0.014000000000000002]",0.7382435979286374,0.3464701850785595,25,test
0.5,d7_c75_s75,noisy,0.045903850486174735,0.006206723101459944,0.020324806772175193,0.006206723101459944,0.020324806772175193,0.006206723101459944,0.43509908277778114,0.02423008733333526,"[0.03724033860875966, 0.0, 0.0, 0.0, 0.0, 0.0]",0.43509908277778114,0.02423008733333526,40,val
0.5,d7_c75_s75,noisy,0.036883216647691695,0.0063096590909090915,0.015520833333333336,0.0063096590909090915,0.015520833333333336,0.0063096590909090915,0.21163101006932564,0.020202020202020204,"[0.037857954545454556, 0.0, 0.0, 0.0, 0.0, 0.0]",0.21163101006932564,0.020202020202020204,40,test
0.5,d7_c75_s75,bilateral,0.39208261709790915,0.14203378876083686,0.2785283011483933,0.14203378876083686,0.2785283011483933,0.14203378876083686,0.5618978657653678,0.30108847498487773,"[0.5209077120964251, 0.02509643570379989, 0.1343557463581845, 0.16984283840661174, 0.002, 0.0]",0.5618978657653678,0.30108847498487773,40,val
0.5,d7_c75_s75,bilateral,0.3675216116337977,0.11755153670219999,0.23672895539765437,0.11755153670219999,0.23672895539765437,0.11755153670219999,0.8222608229044089,0.23664730989016014,"[0.48763737520649275, 0.05941493424505494, 0.07872284482758621, 0.06203406593406594, 0.0175, 0.0]",0.8222608229044089,0.23664730989016014,40,test
0.5,d7_c75_s75,agcwd,0.02313498445563942,0.0021565040650406504,0.006752657911194496,0.0021565040650406504,0.006752657911194496,0.0021565040650406504,0.18351448374885612,0.012345679012345678,"[0.012939024390243904, 0.0, 0.0, 0.0, 0.0, 0.0]",0.18351448374885612,0.012345679012345678,40,val
0.5,d7_c75_s75,agcwd,0.009830188783612031,0.00043750000000000006,0.0007291666666666667,0.00043750000000000006,0.0007291666666666667,0.00043750000000000006,0.18332167709706473,0.005050505050505051,"[0.002625, 0.0, 0.0, 0.0, 0.0, 0.0]",0.18332167709706473,0.005050505050505051,40,test
0.5,d7_c75_s75,member3,0.2237583890445774,0.0780367454849879,0.1612389938342352,0.0780367454849879,0.1612389938342352,0.0780367454849879,0.3080936162884574,0.17567141761317207,"[0.40923787780738996, 0.0015759493670886074, 0.02419885352765659, 0.03320779220779221, 0.0, 0.0]",0.3080936162884574,0.17567141761317207,40,val
0.5,d7_c75_s75,member3,0.22234031339901933,0.06549619791691948,0.13941377977814148,0.06549619791691948,0.13941377977814148,0.06549619791691948,0.4288316073247669,0.1500757390931792,"[0.36005109491957316, 0.0015260925819436456, 0.0, 0.013900000000000001, 0.0175, 0.0]",0.4288316073247669,0.1500757390931792,40,test
